# i 	|		 t 	|	 MEtot	|	 dMEtot 	|	 KEtot	|	 dKEtot 	|	 Pdvtot 	|	 dTEtot 	|	 Etot
124	,	1.00242e-01,	1.05041e-05,	6.97802e-11	,	2.55867e-07	,	5.15109e-12	,	2.42516e-03	,	5.09588e-08	,	2.43592e-03
125	,	1.00250e-01,	1.05038e-05,	5.25146e-11	,	2.55955e-07	,	3.87390e-12	,	2.42519e-03	,	3.82579e-08	,	2.43595e-03
126	,	1.00261e-01,	1.05034e-05,	7.03385e-11	,	2.56072e-07	,	5.18403e-12	,	2.42523e-03	,	5.10795e-08	,	2.43599e-03
127	,	1.00272e-01,	1.05031e-05,	7.06577e-11	,	2.56188e-07	,	5.20289e-12	,	2.42528e-03	,	5.11485e-08	,	2.43604e-03
128	,	1.00280e-01,	1.05028e-05,	5.31728e-11	,	2.56276e-07	,	3.91280e-12	,	2.42531e-03	,	3.84002e-08	,	2.43607e-03
129	,	1.00291e-01,	1.05024e-05,	7.12165e-11	,	2.56394e-07	,	5.23599e-12	,	2.42535e-03	,	5.12693e-08	,	2.43611e-03
130	,	1.00302e-01,	1.05020e-05,	7.15359e-11	,	2.56511e-07	,	5.25494e-12	,	2.42540e-03	,	5.13383e-08	,	2.43616e-03
131	,	1.00311e-01,	1.05017e-05,	5.38316e-11	,	2.56599e-07	,	3.95189e-12	,	2.42543e-03	,	3.85426e-08	,	2.43619e-03
132	,	1.00322e-01,	1.05013e-05,	7.20951e-11	,	2.56717e-07	,	5.28820e-12	,	2.42548e-03	,	5.14593e-08	,	2.43623e-03
133	,	1.00333e-01,	1.05009e-05,	7.24147e-11	,	2.56835e-07	,	5.30725e-12	,	2.42552e-03	,	5.15284e-08	,	2.43628e-03
134	,	1.00341e-01,	1.05006e-05,	5.44909e-11	,	2.56923e-07	,	3.99117e-12	,	2.42555e-03	,	3.86852e-08	,	2.43631e-03
135	,	1.00352e-01,	1.05002e-05,	7.29743e-11	,	2.57042e-07	,	5.34067e-12	,	2.42560e-03	,	5.16495e-08	,	2.43635e-03
136	,	1.00360e-01,	1.04999e-05,	5.49107e-11	,	2.57131e-07	,	4.01627e-12	,	2.42563e-03	,	3.87760e-08	,	2.43639e-03
137	,	1.00371e-01,	1.04995e-05,	7.35342e-11	,	2.57249e-07	,	5.37420e-12	,	2.42567e-03	,	5.17706e-08	,	2.43643e-03
138	,	1.00382e-01,	1.04991e-05,	7.38543e-11	,	2.57368e-07	,	5.39341e-12	,	2.42572e-03	,	5.18399e-08	,	2.43648e-03
139	,	1.00390e-01,	1.04988e-05,	5.55708e-11	,	2.57457e-07	,	4.05587e-12	,	2.42575e-03	,	3.89189e-08	,	2.43651e-03
140	,	1.00401e-01,	1.04985e-05,	7.44146e-11	,	2.57576e-07	,	5.42710e-12	,	2.42580e-03	,	5.19612e-08	,	2.43655e-03
141	,	1.00412e-01,	1.04981e-05,	7.47349e-11	,	2.57695e-07	,	5.44640e-12	,	2.42584e-03	,	5.20305e-08	,	2.43660e-03
142	,	1.00421e-01,	1.04978e-05,	5.62314e-11	,	2.57785e-07	,	4.09567e-12	,	2.42588e-03	,	3.90619e-08	,	2.43663e-03
143	,	1.00432e-01,	1.04974e-05,	7.52957e-11	,	2.57904e-07	,	5.48026e-12	,	2.42592e-03	,	5.21519e-08	,	2.43668e-03
144	,	1.00443e-01,	1.04970e-05,	7.56162e-11	,	2.58024e-07	,	5.49965e-12	,	2.42596e-03	,	5.22213e-08	,	2.43672e-03
145	,	1.00451e-01,	1.04967e-05,	5.68925e-11	,	2.58114e-07	,	4.13566e-12	,	2.42600e-03	,	3.92051e-08	,	2.43675e-03
146	,	1.00462e-01,	1.04963e-05,	7.61774e-11	,	2.58234e-07	,	5.53368e-12	,	2.42604e-03	,	5.23429e-08	,	2.43680e-03
147	,	1.00473e-01,	1.04959e-05,	7.64982e-11	,	2.58354e-07	,	5.55317e-12	,	2.42609e-03	,	5.24124e-08	,	2.43684e-03
148	,	1.00481e-01,	1.04956e-05,	5.75541e-11	,	2.58445e-07	,	4.17586e-12	,	2.42612e-03	,	3.93484e-08	,	2.43688e-03
149	,	1.00492e-01,	1.04952e-05,	7.70598e-11	,	2.58565e-07	,	5.58736e-12	,	2.42617e-03	,	5.25341e-08	,	2.43692e-03
150	,	1.00500e-01,	1.04949e-05,	5.79754e-11	,	2.58656e-07	,	4.20153e-12	,	2.42620e-03	,	3.94397e-08	,	2.43695e-03
151	,	1.00511e-01,	1.04945e-05,	7.76217e-11	,	2.58777e-07	,	5.62166e-12	,	2.42625e-03	,	5.26559e-08	,	2.43700e-03
152	,	1.00522e-01,	1.04942e-05,	7.79429e-11	,	2.58898e-07	,	5.64131e-12	,	2.42629e-03	,	5.27255e-08	,	2.43704e-03
153	,	1.00530e-01,	1.04939e-05,	5.86379e-11	,	2.58989e-07	,	4.24205e-12	,	2.42633e-03	,	3.95833e-08	,	2.43708e-03
154	,	1.00541e-01,	1.04935e-05,	7.85052e-11	,	2.59110e-07	,	5.67578e-12	,	2.42637e-03	,	5.28474e-08	,	2.43712e-03
155	,	1.00552e-01,	1.04931e-05,	7.88267e-11	,	2.59232e-07	,	5.69552e-12	,	2.42642e-03	,	5.29171e-08	,	2.43717e-03
156	,	1.00561e-01,	1.04928e-05,	5.93009e-11	,	2.59323e-07	,	4.28276e-12	,	2.42645e-03	,	3.97270e-08	,	2.43720e-03
157	,	1.00572e-01,	1.04924e-05,	7.93894e-11	,	2.59445e-07	,	5.73016e-12	,	2.42650e-03	,	5.30391e-08	,	2.43725e-03
158	,	1.00583e-01,	1.04920e-05,	7.97111e-11	,	2.59567e-07	,	5.75000e-12	,	2.42654e-03	,	5.31089e-08	,	2.43729e-03
159	,	1.00591e-01,	1.04917e-05,	5.99643e-11	,	2.59659e-07	,	4.32368e-12	,	2.42658e-03	,	3.98710e-08	,	2.43733e-03
160	,	1.00602e-01,	1.04913e-05,	8.02743e-11	,	2.59781e-07	,	5.78481e-12	,	2.42662e-03	,	5.32311e-08	,	2.43737e-03
161	,	1.00610e-01,	1.04910e-05,	6.03868e-11	,	2.59873e-07	,	4.34982e-12	,	2.42666e-03	,	3.99626e-08	,	2.43741e-03
162	,	1.00621e-01,	1.04906e-05,	8.08377e-11	,	2.59996e-07	,	5.81973e-12	,	2.42670e-03	,	5.33534e-08	,	2.43745e-03
163	,	1.00632e-01,	1.04903e-05,	8.11598e-11	,	2.60119e-07	,	5.83973e-12	,	2.42675e-03	,	5.34233e-08	,	2.43750e-03
164	,	1.00640e-01,	1.04900e-05,	6.10511e-11	,	2.60211e-07	,	4.39107e-12	,	2.42678e-03	,	4.01068e-08	,	2.43753e-03
165	,	1.00651e-01,	1.04896e-05,	8.17237e-11	,	2.60334e-07	,	5.87483e-12	,	2.42683e-03	,	5.35457e-08	,	2.43758e-03
166	,	1.00662e-01,	1.04892e-05,	8.20460e-11	,	2.60458e-07	,	5.89493e-12	,	2.42688e-03	,	5.36157e-08	,	2.43763e-03
167	,	1.00670e-01,	1.04889e-05,	6.17159e-11	,	2.60550e-07	,	4.43252e-12	,	2.42691e-03	,	4.02512e-08	,	2.43766e-03
168	,	1.00681e-01,	1.04885e-05,	8.26103e-11	,	2.60674e-07	,	5.93019e-12	,	2.42696e-03	,	5.37382e-08	,	2.43771e-03
169	,	1.00692e-01,	1.04881e-05,	8.29329e-11	,	2.60798e-07	,	5.95039e-12	,	2.42700e-03	,	5.38083e-08	,	2.43775e-03
170	,	1.00701e-01,	1.04878e-05,	6.23812e-11	,	2.60891e-07	,	4.47417e-12	,	2.42704e-03	,	4.03957e-08	,	2.43779e-03
171	,	1.00712e-01,	1.04874e-05,	8.34977e-11	,	2.61015e-07	,	5.98583e-12	,	2.42708e-03	,	5.39310e-08	,	2.43783e-03
172	,	1.00723e-01,	1.04871e-05,	8.38205e-11	,	2.61140e-07	,	6.00613e-12	,	2.42713e-03	,	5.40011e-08	,	2.43788e-03
173	,	1.00731e-01,	1.04868e-05,	6.30470e-11	,	2.61233e-07	,	4.51603e-12	,	2.42717e-03	,	4.05403e-08	,	2.43791e-03
174	,	1.00742e-01,	1.04864e-05,	8.43857e-11	,	2.61358e-07	,	6.04174e-12	,	2.42721e-03	,	5.41240e-08	,	2.43796e-03
175	,	1.00750e-01,	1.04861e-05,	6.34710e-11	,	2.61452e-07	,	4.54278e-12	,	2.42725e-03	,	4.06325e-08	,	2.43800e-03
176	,	1.00761e-01,	1.04857e-05,	8.49511e-11	,	2.61577e-07	,	6.07747e-12	,	2.42729e-03	,	5.42469e-08	,	2.43804e-03
177	,	1.00772e-01,	1.04853e-05,	8.52744e-11	,	2.61702e-07	,	6.09793e-12	,	2.42734e-03	,	5.43171e-08	,	2.43809e-03
178	,	1.00780e-01,	1.04850e-05,	6.41376e-11	,	2.61796e-07	,	4.58498e-12	,	2.42738e-03	,	4.07774e-08	,	2.43812e-03
179	,	1.00791e-01,	1.04846e-05,	8.58402e-11	,	2.61922e-07	,	6.13383e-12	,	2.42742e-03	,	5.44402e-08	,	2.43817e-03
180	,	1.00802e-01,	1.04842e-05,	8.61637e-11	,	2.62047e-07	,	6.15440e-12	,	2.42747e-03	,	5.45105e-08	,	2.43822e-03
181	,	1.00811e-01,	1.04840e-05,	6.48048e-11	,	2.62142e-07	,	4.62738e-12	,	2.42751e-03	,	4.09225e-08	,	2.43825e-03
182	,	1.00822e-01,	1.04836e-05,	8.67300e-11	,	2.62268e-07	,	6.19048e-12	,	2.42755e-03	,	5.46337e-08	,	2.43830e-03
183	,	1.00833e-01,	1.04832e-05,	8.70538e-11	,	2.62394e-07	,	6.21114e-12	,	2.42760e-03	,	5.47042e-08	,	2.43835e-03
184	,	1.00841e-01,	1.04829e-05,	6.54725e-11	,	2.62489e-07	,	4.67000e-12	,	2.42764e-03	,	4.10677e-08	,	2.43838e-03
185	,	1.00852e-01,	1.04825e-05,	8.76205e-11	,	2.62616e-07	,	6.24740e-12	,	2.42768e-03	,	5.48275e-08	,	2.43843e-03
186	,	1.00863e-01,	1.04821e-05,	8.79445e-11	,	2.62743e-07	,	6.26817e-12	,	2.42773e-03	,	5.48980e-08	,	2.43848e-03
187	,	1.00871e-01,	1.04818e-05,	6.61406e-11	,	2.62838e-07	,	4.71283e-12	,	2.42777e-03	,	4.12132e-08	,	2.43851e-03
188	,	1.00882e-01,	1.04814e-05,	8.85117e-11	,	2.62965e-07	,	6.30460e-12	,	2.42781e-03	,	5.50215e-08	,	2.43856e-03
189	,	1.00890e-01,	1.04812e-05,	6.65661e-11	,	2.63061e-07	,	4.74019e-12	,	2.42785e-03	,	4.13058e-08	,	2.43859e-03
190	,	1.00901e-01,	1.04808e-05,	8.90791e-11	,	2.63188e-07	,	6.34115e-12	,	2.42790e-03	,	5.51450e-08	,	2.43864e-03
191	,	1.00912e-01,	1.04804e-05,	8.94035e-11	,	2.63316e-07	,	6.36209e-12	,	2.42795e-03	,	5.52156e-08	,	2.43869e-03
192	,	1.00920e-01,	1.04801e-05,	6.72351e-11	,	2.63412e-07	,	4.78336e-12	,	2.42798e-03	,	4.14515e-08	,	2.43872e-03
193	,	1.00931e-01,	1.04797e-05,	8.99714e-11	,	2.63540e-07	,	6.39882e-12	,	2.42803e-03	,	5.53393e-08	,	2.43877e-03
194	,	1.00942e-01,	1.04793e-05,	9.02960e-11	,	2.63668e-07	,	6.41986e-12	,	2.42808e-03	,	5.54100e-08	,	2.43882e-03
195	,	1.00951e-01,	1.04790e-05,	6.79046e-11	,	2.63764e-07	,	4.82674e-12	,	2.42811e-03	,	4.15973e-08	,	2.43886e-03
196	,	1.00962e-01,	1.04786e-05,	9.08643e-11	,	2.63893e-07	,	6.45677e-12	,	2.42816e-03	,	5.55339e-08	,	2.43890e-03
197	,	1.00973e-01,	1.04783e-05,	9.11892e-11	,	2.64022e-07	,	6.47791e-12	,	2.42821e-03	,	5.56047e-08	,	2.43895e-03
198	,	1.00981e-01,	1.04780e-05,	6.85747e-11	,	2.64118e-07	,	4.87034e-12	,	2.42825e-03	,	4.17433e-08	,	2.43899e-03
199	,	1.00992e-01,	1.04776e-05,	9.17579e-11	,	2.64247e-07	,	6.51500e-12	,	2.42829e-03	,	5.57286e-08	,	2.43904e-03
200	,	1.01000e-01,	1.04773e-05,	6.90013e-11	,	2.64344e-07	,	4.89820e-12	,	2.42833e-03	,	4.18363e-08	,	2.43907e-03
201	,	1.01011e-01,	1.04769e-05,	9.23269e-11	,	2.64474e-07	,	6.55221e-12	,	2.42838e-03	,	5.58527e-08	,	2.43912e-03
202	,	1.01022e-01,	1.04765e-05,	9.26522e-11	,	2.64603e-07	,	6.57352e-12	,	2.42843e-03	,	5.59236e-08	,	2.43917e-03
203	,	1.01030e-01,	1.04762e-05,	6.96722e-11	,	2.64701e-07	,	4.94215e-12	,	2.42846e-03	,	4.19826e-08	,	2.43920e-03
204	,	1.01041e-01,	1.04759e-05,	9.32217e-11	,	2.64831e-07	,	6.61092e-12	,	2.42851e-03	,	5.60478e-08	,	2.43925e-03
205	,	1.01052e-01,	1.04755e-05,	9.35472e-11	,	2.64961e-07	,	6.63234e-12	,	2.42856e-03	,	5.61188e-08	,	2.43930e-03
206	,	1.01060e-01,	1.04752e-05,	7.03435e-11	,	2.65058e-07	,	4.98632e-12	,	2.42860e-03	,	4.21291e-08	,	2.43934e-03
207	,	1.01071e-01,	1.04748e-05,	9.41171e-11	,	2.65189e-07	,	6.66991e-12	,	2.42865e-03	,	5.62431e-08	,	2.43939e-03
208	,	1.01082e-01,	1.04744e-05,	9.44428e-11	,	2.65320e-07	,	6.69144e-12	,	2.42869e-03	,	5.63142e-08	,	2.43943e-03
209	,	1.01091e-01,	1.04741e-05,	7.10154e-11	,	2.65418e-07	,	5.03070e-12	,	2.42873e-03	,	4.22757e-08	,	2.43947e-03
210	,	1.01102e-01,	1.04737e-05,	9.50132e-11	,	2.65549e-07	,	6.72920e-12	,	2.42878e-03	,	5.64387e-08	,	2.43952e-03
211	,	1.01113e-01,	1.04734e-05,	9.53392e-11	,	2.65680e-07	,	6.75083e-12	,	2.42883e-03	,	5.65099e-08	,	2.43957e-03
212	,	1.01121e-01,	1.04731e-05,	7.16878e-11	,	2.65778e-07	,	5.07531e-12	,	2.42887e-03	,	4.24224e-08	,	2.43961e-03
213	,	1.01132e-01,	1.04727e-05,	9.59099e-11	,	2.65910e-07	,	6.78878e-12	,	2.42892e-03	,	5.66345e-08	,	2.43965e-03
214	,	1.01140e-01,	1.04724e-05,	7.21160e-11	,	2.66009e-07	,	5.10381e-12	,	2.42895e-03	,	4.25159e-08	,	2.43969e-03
215	,	1.01151e-01,	1.04720e-05,	9.64809e-11	,	2.66141e-07	,	6.82684e-12	,	2.42900e-03	,	5.67592e-08	,	2.43974e-03
216	,	1.01162e-01,	1.04716e-05,	9.68074e-11	,	2.66273e-07	,	6.84865e-12	,	2.42905e-03	,	5.68305e-08	,	2.43979e-03
217	,	1.01170e-01,	1.04713e-05,	7.27892e-11	,	2.66372e-07	,	5.14877e-12	,	2.42909e-03	,	4.26630e-08	,	2.43983e-03
218	,	1.01181e-01,	1.04710e-05,	9.73788e-11	,	2.66504e-07	,	6.88690e-12	,	2.42914e-03	,	5.69553e-08	,	2.43988e-03
219	,	1.01192e-01,	1.04706e-05,	9.77055e-11	,	2.66637e-07	,	6.90882e-12	,	2.42919e-03	,	5.70267e-08	,	2.43992e-03
220	,	1.01201e-01,	1.04703e-05,	7.34629e-11	,	2.66736e-07	,	5.19396e-12	,	2.42922e-03	,	4.28102e-08	,	2.43996e-03
221	,	1.01212e-01,	1.04699e-05,	9.82774e-11	,	2.66869e-07	,	6.94726e-12	,	2.42927e-03	,	5.71517e-08	,	2.44001e-03
222	,	1.01223e-01,	1.04695e-05,	9.86043e-11	,	2.67003e-07	,	6.96928e-12	,	2.42932e-03	,	5.72231e-08	,	2.44006e-03
223	,	1.01231e-01,	1.04692e-05,	7.41372e-11	,	2.67103e-07	,	5.23937e-12	,	2.42936e-03	,	4.29575e-08	,	2.44010e-03
224	,	1.01242e-01,	1.04688e-05,	9.91766e-11	,	2.67236e-07	,	7.00791e-12	,	2.42941e-03	,	5.73482e-08	,	2.44015e-03
225	,	1.01250e-01,	1.04686e-05,	7.45665e-11	,	2.67336e-07	,	5.26838e-12	,	2.42945e-03	,	4.30514e-08	,	2.44018e-03
226	,	1.01261e-01,	1.04682e-05,	9.97492e-11	,	2.67470e-07	,	7.04667e-12	,	2.42950e-03	,	5.74734e-08	,	2.44023e-03
227	,	1.01272e-01,	1.04678e-05,	1.00077e-10	,	2.67604e-07	,	7.06886e-12	,	2.42955e-03	,	5.75450e-08	,	2.44028e-03
228	,	1.01280e-01,	1.04675e-05,	7.52416e-11	,	2.67705e-07	,	5.31415e-12	,	2.42959e-03	,	4.31991e-08	,	2.44032e-03
229	,	1.01291e-01,	1.04671e-05,	1.00650e-10	,	2.67839e-07	,	7.10781e-12	,	2.42964e-03	,	5.76704e-08	,	2.44037e-03
230	,	1.01302e-01,	1.04667e-05,	1.00977e-10	,	2.67974e-07	,	7.13012e-12	,	2.42969e-03	,	5.77420e-08	,	2.44042e-03
231	,	1.01310e-01,	1.04665e-05,	7.59172e-11	,	2.68075e-07	,	5.36016e-12	,	2.42972e-03	,	4.33469e-08	,	2.44046e-03
232	,	1.01321e-01,	1.04661e-05,	1.01551e-10	,	2.68210e-07	,	7.16925e-12	,	2.42978e-03	,	5.78675e-08	,	2.44051e-03
233	,	1.01332e-01,	1.04657e-05,	1.01878e-10	,	2.68345e-07	,	7.19167e-12	,	2.42983e-03	,	5.79393e-08	,	2.44056e-03
234	,	1.01341e-01,	1.04654e-05,	7.65933e-11	,	2.68446e-07	,	5.40638e-12	,	2.42986e-03	,	4.34948e-08	,	2.44060e-03
235	,	1.01352e-01,	1.04650e-05,	1.02452e-10	,	2.68582e-07	,	7.23100e-12	,	2.42991e-03	,	5.80649e-08	,	2.44065e-03
236	,	1.01363e-01,	1.04646e-05,	1.02780e-10	,	2.68717e-07	,	7.25353e-12	,	2.42996e-03	,	5.81367e-08	,	2.44070e-03
237	,	1.01371e-01,	1.04644e-05,	7.72699e-11	,	2.68819e-07	,	5.45284e-12	,	2.43000e-03	,	4.36430e-08	,	2.44074e-03
238	,	1.01382e-01,	1.04640e-05,	1.03355e-10	,	2.68955e-07	,	7.29305e-12	,	2.43005e-03	,	5.82625e-08	,	2.44079e-03
239	,	1.01390e-01,	1.04637e-05,	7.77007e-11	,	2.69057e-07	,	5.48252e-12	,	2.43009e-03	,	4.37373e-08	,	2.44082e-03
240	,	1.01401e-01,	1.04633e-05,	1.03929e-10	,	2.69194e-07	,	7.33270e-12	,	2.43014e-03	,	5.83884e-08	,	2.44088e-03
241	,	1.01412e-01,	1.04629e-05,	1.04258e-10	,	2.69330e-07	,	7.35541e-12	,	2.43019e-03	,	5.84603e-08	,	2.44093e-03
242	,	1.01420e-01,	1.04626e-05,	7.83781e-11	,	2.69433e-07	,	5.52935e-12	,	2.43023e-03	,	4.38857e-08	,	2.44096e-03
243	,	1.01431e-01,	1.04623e-05,	1.04833e-10	,	2.69570e-07	,	7.39525e-12	,	2.43028e-03	,	5.85863e-08	,	2.44102e-03
244	,	1.01442e-01,	1.04619e-05,	1.05162e-10	,	2.69707e-07	,	7.41807e-12	,	2.43033e-03	,	5.86584e-08	,	2.44107e-03
245	,	1.01451e-01,	1.04616e-05,	7.90561e-11	,	2.69810e-07	,	5.57641e-12	,	2.43037e-03	,	4.40343e-08	,	2.44110e-03
246	,	1.01461e-01,	1.04612e-05,	1.05737e-10	,	2.69947e-07	,	7.45811e-12	,	2.43042e-03	,	5.87845e-08	,	2.44116e-03
247	,	1.01472e-01,	1.04608e-05,	1.06066e-10	,	2.70085e-07	,	7.48105e-12	,	2.43048e-03	,	5.88566e-08	,	2.44121e-03
248	,	1.01481e-01,	1.04606e-05,	7.97346e-11	,	2.70188e-07	,	5.62371e-12	,	2.43051e-03	,	4.41830e-08	,	2.44125e-03
249	,	1.01492e-01,	1.04602e-05,	1.06642e-10	,	2.70326e-07	,	7.52128e-12	,	2.43057e-03	,	5.89829e-08	,	2.44130e-03
250	,	1.01503e-01,	1.04598e-05,	1.06971e-10	,	2.70465e-07	,	7.54433e-12	,	2.43062e-03	,	5.90551e-08	,	2.44135e-03
251	,	1.01511e-01,	1.04595e-05,	8.04135e-11	,	2.70568e-07	,	5.67123e-12	,	2.43066e-03	,	4.43319e-08	,	2.44139e-03
252	,	1.01522e-01,	1.04591e-05,	1.07547e-10	,	2.70707e-07	,	7.58476e-12	,	2.43071e-03	,	5.91815e-08	,	2.44144e-03
253	,	1.01530e-01,	1.04588e-05,	8.08459e-11	,	2.70811e-07	,	5.70160e-12	,	2.43075e-03	,	4.44268e-08	,	2.44148e-03
254	,	1.01541e-01,	1.04585e-05,	1.08124e-10	,	2.70950e-07	,	7.62532e-12	,	2.43080e-03	,	5.93080e-08	,	2.44153e-03
255	,	1.01552e-01,	1.04581e-05,	1.08454e-10	,	2.71089e-07	,	7.64856e-12	,	2.43085e-03	,	5.93804e-08	,	2.44158e-03
256	,	1.01560e-01,	1.04578e-05,	8.15257e-11	,	2.71194e-07	,	5.74951e-12	,	2.43089e-03	,	4.45760e-08	,	2.44162e-03
257	,	1.01571e-01,	1.04574e-05,	1.09031e-10	,	2.71333e-07	,	7.68931e-12	,	2.43094e-03	,	5.95070e-08	,	2.44167e-03
258	,	1.01582e-01,	1.04570e-05,	1.09361e-10	,	2.71473e-07	,	7.71266e-12	,	2.43099e-03	,	5.95794e-08	,	2.44172e-03
259	,	1.01591e-01,	1.04568e-05,	8.22060e-11	,	2.71578e-07	,	5.79765e-12	,	2.43103e-03	,	4.47253e-08	,	2.44176e-03
260	,	1.01602e-01,	1.04564e-05,	1.09938e-10	,	2.71718e-07	,	7.75362e-12	,	2.43108e-03	,	5.97062e-08	,	2.44181e-03
261	,	1.01613e-01,	1.04560e-05,	1.10268e-10	,	2.71858e-07	,	7.77709e-12	,	2.43114e-03	,	5.97787e-08	,	2.44187e-03
262	,	1.01621e-01,	1.04557e-05,	8.28869e-11	,	2.71963e-07	,	5.84603e-12	,	2.43118e-03	,	4.48748e-08	,	2.44190e-03
263	,	1.01632e-01,	1.04553e-05,	1.10846e-10	,	2.72104e-07	,	7.81825e-12	,	2.43123e-03	,	5.99057e-08	,	2.44196e-03
264	,	1.01640e-01,	1.04550e-05,	8.33204e-11	,	2.72209e-07	,	5.87695e-12	,	2.43127e-03	,	4.49701e-08	,	2.44200e-03
265	,	1.01651e-01,	1.04547e-05,	1.11424e-10	,	2.72350e-07	,	7.85954e-12	,	2.43132e-03	,	6.00327e-08	,	2.44205e-03
266	,	1.01662e-01,	1.04543e-05,	1.11755e-10	,	2.72491e-07	,	7.88319e-12	,	2.43137e-03	,	6.01053e-08	,	2.44210e-03
267	,	1.01670e-01,	1.04540e-05,	8.40021e-11	,	2.72597e-07	,	5.92572e-12	,	2.43141e-03	,	4.51199e-08	,	2.44214e-03
268	,	1.01681e-01,	1.04536e-05,	1.12333e-10	,	2.72739e-07	,	7.92469e-12	,	2.43147e-03	,	6.02325e-08	,	2.44219e-03
269	,	1.01692e-01,	1.04533e-05,	1.12664e-10	,	2.72881e-07	,	7.94845e-12	,	2.43152e-03	,	6.03052e-08	,	2.44224e-03
270	,	1.01700e-01,	1.04530e-05,	8.46843e-11	,	2.72987e-07	,	5.97473e-12	,	2.43156e-03	,	4.52698e-08	,	2.44228e-03
271	,	1.01711e-01,	1.04526e-05,	1.13243e-10	,	2.73129e-07	,	7.99015e-12	,	2.43161e-03	,	6.04325e-08	,	2.44234e-03
272	,	1.01722e-01,	1.04522e-05,	1.13574e-10	,	2.73271e-07	,	8.01404e-12	,	2.43166e-03	,	6.05053e-08	,	2.44239e-03
